route,skills,confidence
"/answers/calculus/integral-of-sec-cubed/","skill.calculus.answer.integral","medium-confidence-inferred"
"/glossary/math/absolute-convergence/","skill.math.glossary-term.absolute-convergence","medium-confidence-inferred"
"/glossary/math/antiderivative/","skill.math.glossary-term.derivative","medium-confidence-inferred"
"/glossary/math/chain-rule/","skill.math.glossary-term.chain-rule","medium-confidence-inferred"
"/glossary/math/continuity/","skill.math.glossary-term.continuity","medium-confidence-inferred"
"/glossary/math/conventions/","skill.math.glossary-term.conventions","medium-confidence-inferred"
"/glossary/math/critical-number/","skill.math.glossary-term.critical-number","medium-confidence-inferred"
"/glossary/math/definite-integral/","skill.math.glossary-term.integral","medium-confidence-inferred"
"/glossary/math/derivative/","skill.math.glossary-term.derivative","medium-confidence-inferred"
"/glossary/math/fundamental-theorem-calculus/","skill.math.glossary-term.fundamental-theorem-calculus","medium-confidence-inferred"
"/glossary/math/geometric-series/","skill.math.glossary-term.geometric-series","medium-confidence-inferred"
"/glossary/math/implicit-differentiation/","skill.math.glossary-term.derivative","medium-confidence-inferred"
"/glossary/math/improper-integral/","skill.math.glossary-term.integral","medium-confidence-inferred"
"/glossary/math/integration-by-parts/","skill.math.glossary-term.integration-by-parts","medium-confidence-inferred"
"/glossary/math/limit/","skill.math.glossary-term.limit","medium-confidence-inferred"
"/glossary/math/local-maximum/","skill.math.glossary-term.local-maximum","medium-confidence-inferred"
"/glossary/math/local-minimum/","skill.math.glossary-term.local-minimum","medium-confidence-inferred"
"/glossary/math/one-sided-limit/","skill.math.glossary-term.limit","medium-confidence-inferred"
"/glossary/math/optimization/","skill.math.glossary-term.optimization","medium-confidence-inferred"
"/glossary/math/power-series/","skill.math.glossary-term.power-series","medium-confidence-inferred"
"/glossary/math/radius-of-convergence/","skill.math.glossary-term.radius-of-convergence","medium-confidence-inferred"
"/glossary/math/related-rates/","skill.math.glossary-term.related-rates","medium-confidence-inferred"
"/glossary/math/sequence/","skill.math.glossary-term.sequence","medium-confidence-inferred"
"/glossary/math/series/","skill.math.glossary-term.series","medium-confidence-inferred"
"/glossary/math/taylor-series/","skill.math.glossary-term.taylor-series","medium-confidence-inferred"
"/glossary/math/u-substitution/","skill.math.glossary-term.u-substitution","medium-confidence-inferred"
"/learn/calculus/integration-by-parts/","skill.calculus.method-guide.integration-by-parts","medium-confidence-inferred"
"/practice/math/","skill.math.assessment.math","medium-confidence-inferred"
"/practice/math/calculus/","skill.calculus.assessment.calculus","medium-confidence-inferred"
"/practice/math/calculus/challenges/integration-bee/","skill.calculus.assessment.integral","medium-confidence-inferred"
"/practice/math/calculus/diagnostics/calculus-readiness/","skill.calculus.assessment.calculus-readiness","medium-confidence-inferred"
"/practice/math/calculus/exams/calculus-foundations/","skill.calculus.practice-exam.calculus-foundations","medium-confidence-inferred"
"/practice/math/calculus/quizzes/integration-method-selection/","skill.calculus.assessment.integral","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/","skill.algebra.quick-answer.expressions-equations","medium-confidence-inferred"
